Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201401,January 2014,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,15647326,,33186130,,,0
HS,2014,201401,January 2014,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,500,,273,,,0
HS,2014,201402,February 2014,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,8507420,,20015533,,,0
HS,2014,201402,February 2014,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,724,,3135,,,0
HS,2014,201403,March 2014,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,18541944,,38703059,,,0
HS,2014,201403,March 2014,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,49,,236,,,0
HS,2014,201405,May 2014,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,11780363,,29922105,,,0
HS,2014,201405,May 2014,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,200,,1530,,,0
HS,2014,201404,April 2014,4,0,1,Imports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,9936577,,22252949,,,0
HS,2014,201404,April 2014,4,0,2,Exports,12,Algeria,,0,World,,,,,,,,,0901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0,,,,,,270,,1109,,,0
